Electorate,Franklin,,,,,,,,,,,,,,,,,,,,,
Quota,11863,,,,,,,,,,,,,,,,,,,,,
Link,https://www.abc.net.au/news/elections/tas/2021/guide/fran,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Type,Name,PartyName,PartyCode,PartyColour,Votes,,,,,,,,,,,,,,,,,
Candidate,Brendon Hext,SFF,SFF,ptybrown,2041,2189,2194,2200,2212,2227,2236,2237,2251,2268,2269,2270,,,,,,
Candidate,Richard Atkinson,Greens,GRN,ptylightgreen,896,915,1113,1181,1659,1664,1665,1666,,,,,,,,,,
Candidate,Holly Ewin,Greens,GRN,ptylightgreen,909,918,960,1164,,,,,,,,,,,,,,
Candidate,Lachlan Hatfield,Greens,GRN,ptylightgreen,536,538,,,,,,,,,,,,,,,,
Candidate,Ross Lincolne,Greens,GRN,ptylightgreen,595,600,624,,,,,,,,,,,,,,,
Candidate,Rosalie Woodruff,Greens,GRN,ptylightgreen,7284,7364,7574,7836,8371,8376,8379,8380,9816,9908,9911,9917,10240,10481,10562,10944,10980,11362
Candidate,Kathryn Barnsley,Labor,ALP,ptyred,1913,1942,1967,1977,1997,2012,2013,2013,2040,31,,,,,,,,
Candidate,Heather Ching,Labor,ALP,ptyred,2136,2179,2182,2190,2239,2250,2254,2256,2283,2571,2574,2596,2804,,,,,
Candidate,Kevin Midson,Labor,ALP,ptyred,4107,4197,4203,4211,4217,4229,4232,4232,4286,4759,4761,4785,5072,5966,6073,180,,
Candidate,David O'Byrne,Labor,ALP,ptyred,11221,11530,11542,11577,11599,11610,11623,11625,11685,11955,11955,11863,11863,11863,11863,11863,11863,11863
Candidate,Alison Standen,Labor,ALP,ptyred,5087,5172,5179,5191,5214,5231,5235,5235,5253,6084,6095,6127,6400,7830,7983,12995,12995,11863
Candidate,Claire Chandler,Liberal,LIB,ptyblue,1151,2638,2638,2639,2643,2860,3267,3316,3326,3343,3347,3348,3799,3867,,,,
Candidate,Simon Duffy,Liberal,LIB,ptyblue,739,1539,1542,1543,1544,800,,,,,,,,,,,,
Candidate,Will Hodgman,Liberal,LIB,ptyblue,27184,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863
Candidate,Jacquie Petrusma,Liberal,LIB,ptyblue,3467,11689,11690,11694,11703,12030,12030,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863,11863
Candidate,Nic Street,Liberal,LIB,ptyblue,1907,5892,5893,5896,5900,6009,6358,6465,6477,6494,6499,6500,7175,7286,10643,10896,10983,11136
Exhausted,,,,,0,8,9,11,12,12,18,22,30,34,36,41,94,154,323,569,626,1223
Description,,,,,First Preferences,Hodgam (LIB) Surplus Distributed,Hatfield (GRN) excluded,Lincolne (GRN) excluded,Ewin (GRN) excluded,Duffy (LIB) part excluded,Duffy (LIB) excluded,Petrusma (LIB) surplus distributed,Atkinson (GRN) excluded,Barnsley (ALP) part excluded,Barnsley (ALP) excluded,O'Byrne (ALP) surplus distributed,Hext (SFF) excluded,Ching (ALP) excluded,Chandler (ALP) excluded,Midson (ALP) part excluded,Midson (ALP) excluded,Standen (ALP) surpuls distributed
